# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:TB                    10:EB                 
  102       3.649468034407e-10       1.075664757801e-13       8.531725717388e-13       8.531725717388e-12      -3.256287710045e-12       8.515176139880e-16       1.026192624209e-11       1.467854392623e-12      -7.544653547184e-15 
  103       3.690394191417e-10       1.094708916576e-13       8.699014456945e-13       8.699014456945e-12      -3.343446055592e-12       8.461944579418e-16       1.000308105546e-11       1.438037782481e-12      -7.320357726724e-15 
  104       3.731564769545e-10       1.113492158406e-13       8.867927359021e-13       8.867927359021e-12      -3.430418699815e-12       8.405614854408e-16       9.751692099794e-12       1.409005737159e-12      -7.127163013989e-15 
  105       3.772977157406e-10       1.131996194095e-13       9.038464423618e-13       9.038464423618e-12      -3.517136362921e-12       8.346274885449e-16       9.507650514940e-12       1.380747943636e-12      -6.964624963807e-15 
  106       3.814630550047e-10       1.150203791578e-13       9.210625650734e-13       9.210625650734e-12      -3.603535502995e-12       8.284012214551e-16       9.270995775293e-12       1.353269547212e-12      -6.830616866970e-15 
  107       3.856522999756e-10       1.168097777329e-13       9.384411040371e-13       9.384411040371e-12      -3.689552455207e-12       8.218917538565e-16       9.041715652051e-12       1.326569722002e-12      -6.722728958147e-15 
  108       3.898651371082e-10       1.185661047510e-13       9.559820592527e-13       9.559820592527e-12      -3.775123472456e-12       8.151084684751e-16       8.819744435398e-12       1.300641463500e-12      -6.638260739681e-15 
  109       3.941011295869e-10       1.202876579128e-13       9.736854307204e-13       9.736854307204e-12      -3.860184766010e-12       8.080610586351e-16       8.604961156693e-12       1.275471381142e-12      -6.574213305394e-15 
  110       3.983597128281e-10       1.219727441186e-13       9.915512184400e-13       9.915512184400e-12      -3.944672546147e-12       8.007595258152e-16       8.397187810661e-12       1.251039490870e-12      -6.527281664388e-15 
  111       4.026401899825e-10       1.236196805837e-13       1.009579422412e-12       1.009579422412e-11      -4.028523062798e-12       7.932141772057e-16       8.196187577576e-12       1.227319007692e-12      -6.493847064845e-15 
  112       4.069417274384e-10       1.252267959540e-13       1.027770042635e-12       1.027770042635e-11      -4.111672646187e-12       7.854356232654e-16       8.001663045451e-12       1.204276138252e-12      -6.469969317829e-15 
  113       4.112633503238e-10       1.267924314210e-13       1.046123079111e-12       1.046123079111e-11      -4.194057747477e-12       7.774347752781e-16       7.813254432225e-12       1.181869873386e-12      -6.451379121086e-15 
  114       4.156039380096e-10       1.283149418373e-13       1.064638531839e-12       1.064638531839e-11      -4.275614979404e-12       7.692228429099e-16       7.630537807953e-12       1.160051780690e-12      -6.433470382847e-15 
  115       4.199622196118e-10       1.297926968322e-13       1.083316400818e-12       1.083316400818e-11      -4.356281156926e-12       7.608113317654e-16       7.453023316989e-12       1.138765797079e-12      -6.411292545630e-15 
  116       4.243369546020e-10       1.312241106611e-13       1.102156686050e-12       1.102156686050e-11      -4.435991856174e-12       7.522116625778e-16       7.280262580816e-12       1.117960958391e-12      -6.380561814723e-15 
  117       4.287275091640e-10       1.326077334879e-13       1.121159387533e-12       1.121159387533e-11      -4.514676805668e-12       7.434339814752e-16       7.112189521538e-12       1.097631787463e-12      -6.340850734616e-15 
  118       4.331333417916e-10       1.339421733468e-13       1.140324505269e-12       1.140324505269e-11      -4.592264008474e-12       7.344881998032e-16       6.948817830511e-12       1.077782449802e-12      -6.292773795256e-15 
  119       4.375538216227e-10       1.352260697562e-13       1.159652039257e-12       1.159652039257e-11      -4.668681200989e-12       7.253843538247e-16       6.790134691826e-12       1.058414163884e-12      -6.237004544251e-15 
  120       4.419882255778e-10       1.364580950872e-13       1.179141989496e-12       1.179141989496e-11      -4.743855880484e-12       7.161325989304e-16       6.636099969837e-12       1.039525108108e-12      -6.174276919551e-15 
  121       4.464357354998e-10       1.376369559337e-13       1.198794355988e-12       1.198794355988e-11      -4.817715332646e-12       7.067432038507e-16       6.486645396695e-12       1.021110327738e-12      -6.105386582133e-15 
  122       4.508954352930e-10       1.387613944815e-13       1.218609138731e-12       1.218609138731e-11      -4.890186659119e-12       6.972265448670e-16       6.341673759888e-12       1.003161641857e-12      -6.031192248687e-15 
  123       4.553663080632e-10       1.398301898778e-13       1.238586337727e-12       1.238586337727e-11      -4.961196805042e-12       6.875931000232e-16       6.201058089767e-12       9.856675503141e-13      -5.952617024299e-15 
  124       4.598472332559e-10       1.408421596005e-13       1.258725952975e-12       1.258725952975e-11      -5.030672586593e-12       6.778534433368e-16       6.064640847086e-12       9.686131406741e-13      -5.870649735138e-15 
