# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:TB                    10:EB                 
   71       2.532282413120e-10       4.637020010513e-14       4.151359401029e-13       4.151359401029e-12      -8.480522853197e-13       1.038821974241e-15       2.542789195203e-11       3.142079701751e-12      -9.229927936568e-15 
   72       2.563792993220e-10       4.815984672452e-14       4.268299102466e-13       4.268299102466e-12      -9.089542392492e-13       1.052170208992e-15       2.459197709867e-11       3.051069038017e-12      -9.264179852775e-15 
   73       2.595632484655e-10       4.997759312757e-14       4.386862966424e-13       4.386862966424e-12      -9.714060631581e-13       1.065174415257e-15       2.379403768811e-11       2.963912778072e-12      -9.302681396713e-15 
   74       2.627791080829e-10       5.182266479949e-14       4.507050992904e-13       4.507050992904e-12      -1.035378351323e-12       1.077834758206e-15       2.303111432968e-11       2.880409361056e-12      -9.358386290679e-15 
   75       2.660252496616e-10       5.369425645619e-14       4.628863181907e-13       4.628863181907e-12      -1.100839537158e-12       1.090152494021e-15       2.229935780443e-11       2.800273631998e-12      -9.445588684862e-15 
   76       2.693000748032e-10       5.559139622045e-14       4.752299533432e-13       4.752299533432e-12      -1.167754047516e-12       1.102128900963e-15       2.159498465618e-11       2.723212520520e-12      -9.575845077537e-15 
   77       2.726042649665e-10       5.751250905686e-14       4.877360047478e-13       4.877360047478e-12      -1.236076399065e-12       1.113761789044e-15       2.091742941005e-11       2.649176230990e-12      -9.744784921507e-15 
   78       2.759388837900e-10       5.945577376737e-14       5.004044724045e-13       5.004044724045e-12      -1.305756002258e-12       1.125048399004e-15       2.026670058764e-11       2.578146313625e-12      -9.942963096949e-15 
   79       2.793046842475e-10       6.141924945584e-14       5.132353563129e-13       5.132353563129e-12      -1.376738854723e-12       1.135986445195e-15       1.964242053180e-11       2.510058272664e-12      -1.015972817066e-14 
   80       2.827020901531e-10       6.340087296391e-14       5.262286564730e-13       5.262286564730e-12      -1.448967493659e-12       1.146574119583e-15       1.904380766192e-11       2.444799475147e-12      -1.038318158052e-14 
   81       2.861311776658e-10       6.539845630698e-14       5.393843728845e-13       5.393843728845e-12      -1.522380948229e-12       1.156810095753e-15       1.846965872935e-11       2.382207059695e-12      -1.060013681994e-14 
   82       2.895916567940e-10       6.740968411011e-14       5.527025055471e-13       5.527025055471e-12      -1.596914691955e-12       1.166693532921e-15       1.791833107269e-11       2.322065845289e-12      -1.079607862234e-14 
